2075434,52413,2553454,507814,1814511,1284157,115575,45070,211312,32009768,3184268,463951,100469,5485494,13626529,590929,259597,3004524,505913,58269,419237,263917,1992723054,750291,410060,1162695,173268,246543,1179234,47976,319767,248015,954683,1869401,98780,17011287,406038,145795,1600640,32563,2430874,114069,4244978,3334810,439572,43701,1032329,300003,515930,3534927,157527,47662
427222,40019,4379913,284717,1766600,1352472,55862,13893,40424,11230036,777611,599962,133968,2533058,702649,4356826,520826,291759,257176,28134,116663,128744,688578,1038386306,196385,1232724,499137,786175,1143979,18142,104044,228713,310533,432446,9537631,675752,634496,199748,298996,14944,442071,3744614,645895,2581208,409547,14203,281589,331704,73144,11781562,227968,39134
10743567,26133,249781,2260595,431834,354206,26814,12166,18816,3786467,3083753,51687,38882,575078,320321,123154,166089,577836,10858339,13761,85549,37329,165005,93159,715347364,787588,56819,65648,161893,12523,74784,140643,124377,497778,22920,315132,377318,55008,195130,8112,361538,29250,15381544,3480673,118337,8141,341425,85457,60490,107500,55158,9155
1279348,35130,1542795,7501662,1264605,2598106,61330,23957,54753,6696235,1305821,200185,141728,13133747,1787921,3246654,25004698,1437364,775401,30387,202788,108461,528901,628903,1138155,1354664217,112552,1295202,646060,27409,158278,510648,341648,697207,86625,946980,4893489,181650,488734,15287,460640,197294,2734000,4621607,362848,18430,470938,287256,109730,929174,193134,16572
74094,46930,936285,50150,847671,611482,18226,3720,5630,511984,136746,156217,1100678,135665,90260,105802,75079,38494,59867,7062,26895,25704,60048,196687,58666,97650,192955446,90086,370574,7617,24553,65184,78598,87240,960190,68894,116892,341848,60629,4718,79022,263476,124513,748213,1153205,6647,93333,1093520,7487,64041,599809,910
114952,14214,1007750,164059,394327,2017014,10652,4738,14464,1241688,191444,84605,58368,512003,196627,7531684,2068974,104437,109340,8388,40255,29919,113525,554431,82927,1735993,63077,409438880,240034,9780,27630,128725,50680,130716,86634,186659,443296,60327,72097,3619,89454,1881112,203508,1130372,149653,4056,80193,88079,17199,179481,642138,5869
149157,77212,4735538,137355,14678063,696540,34919,15326,20072,1437295,389059,875408,695348,484849,218994,156453,153011,103805,204158,14751,101317,75588,227480,193711,90698,335556,180932,146355,569355224,11397,146341,608438,251067,224916,77153,274303,292659,693491,194287,9518,154107,76001,301710,1898031,3389752,3004,198061,794728,25691,170118,181119,14992
31321,11711,102705,12831,147852,99009,650575,24484,24676,1880574,154058,33238,10573,82875,59018,28802,17147,23729,26695,2739184,104086,13276981,60980,23741,22012,39028,19625,12817,36966,236471927,193883,12656,716704,238039,5519,114765,21802,12295,255896,367807,236452,5315,89230,205151,50779,2108601,236060,24745,28323,60686,14184,12870
376775,15581,694912,115122,1390748,607634,2128269,3399705,547079,17184804,1517696,215526,45688,581537,608626,100277,91114,224358,350912,277433,2701426,1853977,524329,111027,121545,251078,63429,59213,442723,252065,1699152368,90778,40377130,2681271,22425,1146694,138249,74602,30302827,483067,2625069,20189,791381,1349784,292779,958940,3360449,149040,364628,181268,48555,259405
161191,25826,4608455,222961,1413036,3175457,14311,4642,27507,690193,172568,84672,119887,228942,136794,91001,257071,87632,370396,14273,55824,34623,99990,98802,141754,293079,51292,93883,861959,7276,43339,389997258,108425,159127,52469,132719,829994,123004,97006,5413,96912,27164,232232,17255102,497258,5988,131023,209866,27544,79733,99335,7150
739423,43604,1371310,324316,3348616,1217191,13011918,1239544,805134,39442464,3755788,417120,141671,1700248,1313010,336941,251253,702580,732228,621822,3393054,6111483,1737610,362864,259767,655316,147330,195417,910588,825049,42292782,275772,3682350533,5809947,44446,3569760,426997,195568,22505710,1066932,5198872,60526,1667037,3466696,752481,3442313,5297619,422867,661283,534594,184979,505465
1938851,49476,934339,505828,1579471,1014771,329247,222892,289124,14267453,11225559,260682,136905,1086939,991285,383363,266214,1199474,903712,117893,1577951,468116,757945,253968,664179,722727,134247,164987,537994,109019,1258774,225776,2217167,2166559698,52367,1939752,449314,168746,2201908,82211,40018589,78945,8340786,2879694,453133,59917,18074216,326153,1567416,520491,149817,88512
